user_id,genres,playtime_forever
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
76561198059330972,Animation &amp; Modeling,65427.0
76561198059330972,Education,65427.0
76561198059330972,Utilities,65427.0
76561198059330972,Web Publishing,65427.0
KJ72,Audio Production,18940.0
KJ72,Utilities,18940.0
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
76561198035718256,Design &amp; Illustration,102554.0
76561198035718256,Web Publishing,102554.0
76561197978756659,Action,299191.0
76561197978756659,Adventure,299191.0
76561197978756659,Indie,299191.0
76561197978756659,Massively Multiplayer,299191.0
76561197978756659,RPG,299191.0
76561197978756659,Early Access,299191.0
76561198059330972,Animation &amp; Modeling,65427.0
76561198059330972,Education,65427.0
76561198059330972,Utilities,65427.0
76561198059330972,Web Publishing,65427.0
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
wolop,Indie,642773.0
wolop,Simulation,642773.0
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
thugnificent,Design &amp; Illustration,502.0
thugnificent,Photo Editing,502.0
Evilutional,Action,635295.0
Evilutional,Adventure,635295.0
Evilutional,Casual,635295.0
Evilutional,Free to Play,635295.0
Evilutional,Massively Multiplayer,635295.0
Evilutional,RPG,635295.0
Evilutional,Simulation,635295.0
stopgovtcorruption,Action,134243.0
stopgovtcorruption,Indie,134243.0
stopgovtcorruption,Racing,134243.0
wolop,Indie,642773.0
wolop,Simulation,642773.0
hterrormc,Animation &amp; Modeling,4456.0
hterrormc,Design &amp; Illustration,4456.0
hterrormc,Education,4456.0
hterrormc,Software Training,4456.0
hterrormc,Utilities,4456.0
76561198071238400,Sports,108052.0
76561198071238400,Strategy,108052.0
shinomegami,Action,530882.0
shinomegami,Free to Play,530882.0
shinomegami,Massively Multiplayer,530882.0
shinomegami,RPG,530882.0
shinomegami,Strategy,530882.0
76561198073642113,Utilities,207651.0
76561198064117170,Utilities,11711.0
76561198064117170,Video Production,11711.0
76561198035718256,Design &amp; Illustration,102554.0
76561198035718256,Web Publishing,102554.0
